PG.ProteinGroups,PG.Genes,[1] Day0_1.raw.PG.Quantity,[2] Day0_2.raw.PG.Quantity,[3] Day0_3.raw.PG.Quantity,[4] Day0_4.raw.PG.Quantity,[5] Day0_5.raw.PG.Quantity,[6] Day0_6.raw.PG.Quantity,[7] Day28_1.raw.PG.Quantity,[8] Day28_2.raw.PG.Quantity,[9] Day28_3.raw.PG.Quantity,[10] Day28_4.raw.PG.Quantity,[11] Day28_5.raw.PG.Quantity,[12] Day28_6.raw.PG.Quantity,[13] Day03_1.raw.PG.Quantity,[14] Day03_2.raw.PG.Quantity,[15] Day03_3.raw.PG.Quantity,[16] Day03_4.raw.PG.Quantity,[17] Day03_5.raw.PG.Quantity,[18] Day03_6.raw.PG.Quantity,[19] Day07_1.raw.PG.Quantity,[20] Day07_2.raw.PG.Quantity,[21] Day07_3.raw.PG.Quantity,[22] Day07_4.raw.PG.Quantity,[23] Day07_5.raw.PG.Quantity,[24] Day07_6.raw.PG.Quantity,[25] Day10_1.raw.PG.Quantity,[26] Day10_2.raw.PG.Quantity,[27] Day10_3.raw.PG.Quantity,[28] Day10_4.raw.PG.Quantity,[29] Day10_5.raw.PG.Quantity,[30] Day10_6.raw.PG.Quantity,[31] Day14_1.raw.PG.Quantity,[32] Day14_2.raw.PG.Quantity,[33] Day14_3.raw.PG.Quantity,[34] Day14_4.raw.PG.Quantity,[35] Day14_5.raw.PG.Quantity,[36] Day14_6.raw.PG.Quantity,[37] Day21_1.raw.PG.Quantity,[38] Day21_2.raw.PG.Quantity,[39] Day21_3.raw.PG.Quantity,[40] Day21_4.raw.PG.Quantity,[41] Day21_5.raw.PG.Quantity,[42] Day21_6.raw.PG.Quantity
B8ZZ50,EIF4E2,57557.54688,61330.89063,71114.48438,59827.96875,56318.88281,73583.14844,26895.84766,26868.11523,29602.33594,23481.25195,27886.24023,30198.13867,43287.58594,48298.31641,51348.74219,46448.53906,43142.66406,45562.63672,22749.13672,25034.33789,25564.93359,26573.06836,25805.85742,24747.96094,29821.31055,26962.05469,31698.91211,30616.58398,28872.01172,32411.94336,30287.79688,32075.30664,25694.1582,33361.76953,33320.23828,31741.83789,28683.9082,31020.80469,32542.91211,30110.4082,33227.89844,33895.88281
B8ZZ84;Q4KMX1;Q86VH4,LRRTM4,219.7123108,1030.564697,1889.531616,1419.585449,2464.108154,2159.848633,13434.38672,9569.00293,NaN,9609.621094,NaN,9801.837891,867.8482056,NaN,NaN,NaN,NaN,522.5839233,2581.199463,4755.022461,10974.71191,12323.375,11364.95703,NaN,8896.648438,7558.329102,2066.375,9990.774414,2675.008545,10456.50195,11253.53027,8619.516602,9499.331055,9008.506836,9728.871094,2842.983154,11422.0957,5171.34668,12530.37891,5093.912598,10539.31445,13705.80176
B8ZZ99;Q96NT0,CCDC115,10144.11816,2264.970947,1794.920288,5080.133301,3379.988525,NaN,3447.7229,3025.005615,NaN,2534.006592,4492.635254,2497.291748,3093.304443,1733.661865,4100.336914,5499.583984,7438.355469,5218.625977,14120.92969,3585.215088,8372.540039,4262.836914,5975.729492,3300.306885,5747.250488,4376.140625,5892.639648,4589.791504,7927.998047,4463.596191,5286.418945,5400.669922,6053.391602,3050.788574,1818.349854,2425.811035,5552.592773,2740.070068,4978.113281,5344.230957,4052.236084,5454.029785
B8ZZA1;B8ZZQ6;B8ZZW7;H7C2N1;P06454,PTMA,NaN,NaN,NaN,82.91729736,20.01900101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.00312424,NaN,NaN,NaN,6.036737442,NaN,NaN,NaN,NaN,NaN,NaN,0.036329459,NaN,NaN,NaN,NaN,43.44198227,0.025431078,0.336395591,0.342463583,1.062514663,0.344328701,NaN,NaN,1.696766257,NaN,NaN,0.008864788,NaN,NaN
B8ZZA8;B8ZZC5,GLS,45625.45313,36888.35938,37299.60547,43078.89453,41745.95703,37045.67188,9985.135742,14125.2998,7309.51123,9411.333008,8985.180664,8998.604492,60782.35156,65569.29688,62838.17188,71028,76429.02344,54601.89844,38575.80078,39772.32422,39654.85547,41579.23047,44993.98828,49682.86719,34415.17188,29108.83789,28834.38867,31712.35742,33536.42188,31407.78906,23401.47461,22681.50195,22853.93555,20503.0625,21966.97852,21075.08203,20760.86719,17870.27539,17145.58203,20288.56641,18140.00391,18853.16016
B8ZZB3;C9JR62;Q6ZP82,CCDC141,3834.754639,1042.638184,1092.159546,2082.896484,965.1050415,458.8829346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,982.420105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B8ZZB7;F8VYB8;H0YEJ0;Q8N8I0,SAMD12,2291.62793,NaN,959.2194824,5854.39209,4596.677734,1968.257202,NaN,NaN,NaN,10780.0752,9049.583008,4994.566895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6672.283203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10485.91309,8732.681641,11686.77051,9861.167969,12769.85059,NaN,NaN,8284.780273,10619.87207,NaN,NaN,9641.368164
B8ZZB8;Q96F85,CNRIP1,NaN,NaN,388.4535522,NaN,NaN,NaN,175774.7969,190481.7344,277762.875,186191.6719,257363.8125,180412.6719,25430.31445,36204.35938,27453.51172,24358.1543,20571.18164,26417.48633,48718.90625,34141.94922,26534.01563,22580.48633,25958.84766,48389.05469,45796.47266,43693.46484,76954.38281,49847.38672,29036.50781,45938.39453,66323.03906,66837.79688,66245.46875,64586.30469,66243.5,83439.45313,88841.46094,130280.6016,105340.0625,119774.3438,100274.4922,101377.2422
B8ZZC8;B8ZZE3;E7EMN2;Q9NRN9,METTL5,47056.08203,34019.58594,34770.32031,37858.9375,34094.37891,33532.16797,11147.87793,9137.150391,12592.51953,9548.600586,10906.41797,10006.44336,18577.22656,19614.94531,18450.05273,23860.20313,22238.50781,21795.07422,6286.02002,9551.955078,9242.972656,9452.75293,9428.832031,7285.401855,11280.66504,8415.359375,6370.687012,10294.11816,10118.0918,9740.012695,10411.2666,8005.65918,8391.191406,7617.120605,9140.228516,5506.771484,9109.910156,3604.584229,8050.256348,7819.349609,7127.842773,6749.616699
B8ZZD4;Q86VP1,TAX1BP1,10441.30664,5161.899902,7515.476074,5544.031738,7966.338867,7617.694336,2063.500977,1708.217285,2677.840576,NaN,3668.04248,1877.080444,4666.030273,5378.16748,1495.208374,1595.401123,4684.149902,1518.888306,3668.780029,1343.178101,598.8924561,821.0038452,1398.586304,1340.123047,2131.647705,1609.682617,985.4454346,1443.62915,2195.691895,1466.734009,1771.111694,1894.58374,2207.296387,1011.497803,1465.45105,713.3045044,1418.306885,3230.822998,1555.180054,1310.345825,1547.29126,746.3584595
B8ZZJ0;B8ZZN6;B9A032;P63165,SUMO1,162351.2969,172495.125,156573.9063,160583.25,162008.0938,159157.75,42091.29297,46482.23438,44723.39844,45301.33203,40736.74609,41622.30859,98929.74219,99883.11719,96911.48438,125159.8047,117820.4531,94786.77344,71893.67188,76850.32813,64074.48047,68665.92969,72234.89844,74421.17188,58302.26172,60672.65625,59130.12109,57621.68359,66423.42188,55359.62891,44139.11328,39655.35938,36836.66016,43003.0625,40684.43359,42033.48438,35233.25,43383.46484,38373.84375,38970.80859,37605.8125,40242.48828
B8ZZL5;H7C3Q6;Q8WV92,MITD1,7081.913086,4942.904785,5285.705078,7352.857422,7294.75293,6691.510254,NaN,NaN,NaN,NaN,NaN,NaN,8132.354004,8168.434082,10621.87695,8604.802734,9224.633789,10601.31836,NaN,NaN,5365.280762,2897.33374,1453.658813,1821.960449,1686.014038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.6905518,NaN,1301.760132,1427.31897,NaN,1166.346558,NaN,NaN,NaN
B8ZZU6,ATF2,25468.60938,26026.82422,24317.82617,27377.10156,26425.18555,25985.93945,12567.78711,14365.60254,9392.472656,18267.54883,17382.25195,16017.34473,26362.43555,29846.86523,14460.40625,25898.53125,28478.69922,18576.16992,22961.07031,21689.35547,19212.36719,26882.82227,29639.64258,20920.60742,18416.02344,15456.14551,15893.27441,14232.69629,18052,18461.13281,11874.5918,12847.05566,13687.88379,13328.47363,13305.06055,11442.91113,14244.56348,14740.3252,12104.49902,13378.76758,14364.17773,14671.32031
B8ZZU8;Q15370,ELOB,155392.2344,24943.69922,51106.51172,400.2500916,38305.87109,16478.30859,32860.87891,32250.94336,NaN,27676.86914,NaN,20721.48047,15076.75977,921.7226563,22656.51367,30642.05273,96431.57031,39389.42969,NaN,11597.44531,48418.69922,35168.48047,34968.94922,1722.937744,55676.59375,42850.84375,2292.55249,54934.33203,36537.67578,38890.1875,83242.46875,73518.35156,53060.73828,40342.26172,55218.27344,15442.56836,53407.29297,17480.50195,75257.4375,43702.69922,61375.07031,66912.35156
B8ZZV9;B8ZZX2;Q9H8M1,COQ10B,909.2109985,372.5601807,NaN,853.6905518,316.7980652,NaN,NaN,NaN,2.353302956,NaN,NaN,NaN,1445.680298,1210.982422,2097.312744,643.1984863,779.7918701,2714.064209,NaN,NaN,881.0776367,315.2469482,1.044231892,NaN,304.1204834,NaN,476.9790649,NaN,NaN,616.1953735,NaN,481.5939026,NaN,405.1899109,426.2727051,NaN,526.2818604,600.9920044,529.9040527,NaN,573.048645,NaN
B8ZZW5;Q8NBF6,AVL9,10298.99316,10035.40039,11779.94141,11605.21094,9801.603516,10924.91309,9988.412109,10275.80371,10900.67676,8521.475586,10700.22852,10347.59961,7819.291504,8618.797852,7695.494141,8410.405273,10135.72461,10187.8584,7390.015137,7139.955078,10227.30762,9285.357422,8205.942383,7405.259277,10483.20508,11410.08105,9614.5625,9699.720703,11097.15527,9428.972656,10222.31738,10203.21387,8364.761719,9100.710938,10017.56738,8832.62207,10697.4502,9187.869141,9561.120117,10205.98047,10719.75977,5977.017578
B8ZZX6;Q658P3,STEAP3,4579.95166,1712.479736,2666.534424,2142.515381,1368.889893,2135.219971,4619.026855,2548.611816,NaN,4766.899414,3120.858643,2117.070068,NaN,NaN,NaN,NaN,NaN,NaN,13634.60645,16140.7998,13104.64746,16964.44336,5992.746094,NaN,19317.44922,5603.239746,21518.32813,20167.81836,19882.61328,NaN,38618.79688,6812.675781,1392.243286,NaN,2882.068848,NaN,NaN,2340.527344,3320.460693,4752.495605,59839.09766,1538.079956
B9A047;Q9Y576,ASB1,4095.037842,1876.455322,3351.988281,3955.617676,4051.696777,3162.350098,2992.542969,2395.852051,2580.738525,3554.887939,3654.724609,1996.922729,2001.225464,1974.404297,1943.139038,1001.427063,1754.6604,1916.667725,1731.248535,NaN,1361.309692,1048.007446,1502.72583,826.4882202,833.5120239,1797.35791,1939.939697,1499.742554,2314.970947,1850.265747,983.3981323,2122.781982,2409.151367,1608.783447,1509.280396,1091.663086,2138.824951,2632.403564,2420.641113,2065.755127,1021.565247,3013.249512
B9A057;Q86WW8,COA5,1373.514038,1922.996826,980.9629517,1318.781372,1067.467529,1209.906616,NaN,1.886235952,NaN,1414.033325,916.4741211,NaN,535.3041992,432.0717773,751.4126587,NaN,603.5604858,NaN,343.1281128,NaN,273.1913147,649.3046875,1004.105469,NaN,NaN,514.2211304,403.4883118,378.8812866,444.967865,287.2773438,1147.712524,476.4686584,483.7229004,NaN,317.2990417,440.7872314,1205.887573,621.0606689,823.3338013,400.3441467,NaN,578.9622192
B9EGA3;J3KMX2;Q92925,SMARCD2,33519.64844,32250.70898,33617.49219,31007.05859,34657.06641,34678.77344,10656.98438,5812.590332,7866.361816,6452.741211,7541.936523,5757.492188,30386.16602,28873.7168,26735.76563,23799.13086,22102.18945,23403.11523,29375.38672,29930.59375,24678.17773,27031.56641,23997.04297,32227.92188,14587.47656,13116.49707,15461.40723,17446.07422,13746.21191,13138.42578,5917.494141,10293.45898,10741.19336,9572.356445,10076.01172,8887.40625,9468.139648,7072.941406,8751.12207,7719.352051,8797.969727,8821.585938
B9EGE7;Q8TCN5,ZNF507,13821.73926,4883.257813,2568.700195,3744.751221,4037.146729,9653.55957,1425.377563,1935.066284,NaN,1177.868652,1147.638306,1520.840088,7577.477051,6950.768066,4723.203125,5183.475098,7995.038574,4793.472168,711.8793335,1047.222168,2741.26001,2321.402832,2748.69458,1360.925171,1802.852661,1005.279724,1732.615356,1218.48645,2311.118896,2396.008545,1327.11377,1552.141602,1839.105713,1996.856934,NaN,NaN,1170.226196,483.8363037,2047.280396,NaN,150.0563202,1051.276733
B9ZVN9;O95602,POLR1A,72335.34375,59538.28125,56049.44922,70678.125,55709.51953,56817.32422,12949.48535,12143.7041,13308.13281,13189.66113,13160.59082,11094.75488,38899.55469,33488.80078,38334.85547,38624.76953,40827.98828,44007.76172,26847.44922,24225.54102,28389.65039,25878.6543,24942.86523,24603.40625,20065.67969,18756.15039,15941.66016,21074.03125,20241.30078,20179.03906,18620.30273,17803.92188,17779.81055,18584.68945,18148.28125,16992.39844,17369.10742,15684.82227,16969.5332,15770.62793,16927.32422,17886.74023
B9ZVR7;Q15772,SPEG,2275.034668,903.692749,360.9713745,1740.588135,1594.98584,367.3139038,2052.348633,2431.39502,4770.505859,1784.476807,NaN,NaN,1938.14856,2407.578613,NaN,1771.045044,1738.657715,NaN,NaN,2295.58667,765.0887451,NaN,104.9022675,1512.21228,NaN,2078.884033,NaN,2098.569336,1980.538818,NaN,2361.890869,664.3710327,2318.932373,NaN,1603.169312,1288.333252,NaN,NaN,13547.2998,1384.370239,2596.976074,NaN
B9ZVT1;Q8IXT5,RBM12B,45724.70313,46813.38281,43060.32031,55347.85156,49179.58984,43928.14844,57181.11328,55594.63672,69430.38281,51408.68359,58039.73047,54142.32031,70281.3125,74555.38281,85691.25781,77121.19531,81929.61719,80569.875,97657.63281,98417.96875,95178.32813,82293.26563,74483.6875,83359.6875,68087.66406,66976.82813,61807.38672,69354.5625,62233.64063,64098.96484,64742.94141,53736.61328,63060.58594,73215.38281,71320.75,70133.79688,57784.50391,56245.12891,63908.78906,52431.64063,59749.25781,56363.42188
C4B7M2;Q96JI7,SPG11,29676.00977,21156.60742,20444.92578,25525.57617,22728.58594,20471.77734,14778.33398,16926.84375,18190.58984,16139.41211,16429.87109,14179.97559,18703.47656,20055.3125,19507.09375,18549.7207,17955.78125,22432.17969,14479.89648,19947.43164,23800.08594,18966.89258,15386.48535,17630.99609,15891.22363,17964.92188,14778.23438,13561.87305,24189.19141,13154.17188,16071.10938,14784.66211,14987.86133,17829.48828,15083.20703,15595.05566,13373.41309,17318.17578,18581.02539,16194.66797,16383.16699,16947.36914
C4P0D6;C4P0D8;Q99598,TSNAX-DISC1;TSNAX-DISC1;TSNAX,70912.5,65373.43359,72556.78906,65466.375,78448.92188,69043.9375,23009.46289,23547.22461,20399.43945,23987.56055,22127.00977,24334.48047,58854.55469,50523.85156,56648.48438,48658.00391,18811.10156,53283.11328,27918.4707,31857.52734,40834.19531,32589.40234,37808.33594,28818.72852,35864.84766,32855.34766,26503.48047,32523.39453,21721.57031,31715.68164,25368.41992,25797.57813,16857.58008,16219.875,22801.31836,17226.88477,17862.87305,19728.50586,20652.66211,24229.33398,19930.16406,15499.87695
C6G488;G3V2T1;Q92186,ST8SIA2,NaN,NaN,NaN,NaN,NaN,NaN,12507.7002,9954.515625,7413.367188,13956.82031,13763.98828,11739.37988,3728.300537,3989.853271,NaN,NaN,3995.417236,4137.932617,5081.503906,4859.175293,6573.566895,5767.049805,4981.412598,4327.828125,5414.088379,6113.054199,5497.677734,7849.836426,8733.283203,7400.003418,8456.533203,8874.178711,10508.56445,8739.342773,8138.697754,7481.812988,11256.80762,10894.50879,11194.66211,9571.623047,10214.63477,11659.79883
C6ZRK5;Q9NQB0,TCF7L2,27285.12109,4280.383789,9204.017578,11725.7998,8818.463867,7569.790039,25375.22266,NaN,15936.4834,24881.16016,NaN,NaN,7571.746094,9177.701172,4356.546875,3070.480957,7438.67334,4584.70166,10151.44141,NaN,NaN,7268.541992,NaN,3664.425537,NaN,NaN,8380.37207,NaN,NaN,10063.2373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4875.48291,NaN,NaN,8715.087891
C8C3P2;E9PDV3;J3KQY6,DPF1,2447.175781,1508.71167,NaN,2692.380859,2695.948975,1368.670776,9769.530273,11060.1582,24166.52539,14920.21777,11974.14258,10913.5957,4825.033691,5460.460449,1438.06604,1036.673218,2945.263428,2412.929443,4901.646973,3476.771729,2882.180664,2405.40332,2581.733887,4402.786621,5532.868164,6209.697754,8486.332031,6711.62207,5475.068848,7920.492676,7027.11377,7583.125,9454.59668,8602.692383,8054.130371,8934.261719,7234.746094,6885.844238,8090.63623,5855.984863,6716.097168,7309.763672
C9IY57;C9J031;Q9UHC7,MKRN1,16157.80566,10924.79297,9278.492188,15764.6377,13165.30273,9850.18457,16488.94922,18350.78711,18777.8125,18257.95117,17623.88086,17306.82813,6998.321289,6901.46582,6857.083496,7134.604004,10094.73047,7061.189453,7146.5625,13219.74316,13851.67871,15041.32129,13022.14355,12117.02051,15394.51074,14862.52441,11508.10156,13177.6123,5894.10791,14082.49219,14090.64648,13438.2207,13487.23926,13650.49609,13176.46582,11209.88672,15914.22168,15628.50195,15516.08203,11814.80371,16830.17383,15764.80859
C9IYF0;Q86XK2,FBXO11,8035.601074,6401.650879,5974.399902,11312.38379,5603.690918,8468.243164,77475.8125,78008.74219,5712.989746,17038.33984,60160.03906,21138.41797,9495.977539,8415.788086,9857.719727,11719.88672,11407.47266,10183.88086,12913.44727,15765.07324,15311.36035,16277.70605,16076.54785,10644.75977,18997.54297,9853.236328,13014.61523,18655.75586,19688.17773,19529.74219,19674.18359,19173.53516,21273.75977,9203.289063,21892.99023,20026.42969,25021.24023,20077.23047,83516.61719,20243.94922,16844.18945,23883.19727
C9IYN3;Q8WVV9;V9GYK2,HNRNPLL,63516.67188,60338.75781,64267.69922,68327.47656,59086.14063,57694.31641,64920.29297,56382.06641,64819.10156,62511.64844,64970.07422,61946.94531,86263.98438,84187.89844,85430.89063,76255.39844,78459.32031,90135.58594,76285.89844,88598.375,93195.33594,89260.99219,85339.04688,85148.83594,92254.29688,90835.16406,80805.21875,90562.77344,79406.51563,85248.67188,79909.02344,78784.1875,83739.76563,83131.39063,80218.09375,75651.03906,75999.77344,72289.25781,80351.09375,69348.20313,72346.28906,71090.75
C9IZG4;O60888,CUTA,93990.64063,31912.67578,40334.64844,65757.71875,38465.17969,33006.80469,137842.9063,141653.875,152427.9531,97918.53125,127329.8281,107727.8828,23738.07422,15374.0625,49316.74219,59713.34375,77136.86719,34608.17188,62441.81641,46185.13281,49053.46875,42011.86328,51479.80859,37050.80469,94330.63281,93096.67969,113309.2891,117742.4063,182606.0156,120389.7969,139006.0625,149315.75,131143.2188,122979.7422,123994.2891,119861.1094,104504.7344,86580.88281,122316.7266,100650.3203,122991.5391,124686.3672
C9IZL5;C9JC87;C9JWL4;H7BZV3;H7C0A0;O00189,AP4M1,7392.443359,4710.046387,6174.23584,6767.877441,7331.861816,5879.390625,6159.544922,5322.889648,5537.242676,5309.395996,4981.494629,6562.786133,8764.508789,7627.180664,7925.00293,7381.484375,6999.688477,9252.838867,11870.06055,8786.228516,10466.62891,7721.999512,8974.305664,9491.353516,6565.376465,8333.222656,5218.887207,6545.895508,8676.178711,3932.194092,6118.992676,3988.89917,5396.661621,4816.692871,6876.129883,7457.746582,4827.359863,4744.54541,5754.816406,5558.661621,4776.095703,3862.098389
C9J069,AJM1,1667.68396,NaN,1399.372559,NaN,2369.44751,NaN,3920.815186,4875.956055,10845.88086,7902.97998,6964.592285,7264.15918,NaN,NaN,NaN,NaN,1754.74646,1985.277588,1542.894897,3257.390869,2173.981934,2573.556885,2118.645508,2305.318359,3624.250488,4106.212891,3270.556885,3012.738037,5139.752441,3308.226563,4851.737305,4411.341309,4369.905762,4684.227539,5151.118164,4249.908203,5958.057129,5443.015137,5298.172363,5351.207031,5726.914551,5029.726563
C9J0A4;C9JZY3;P57723,PCBP4,11511.50293,8119.474609,10985.21973,8858.546875,9219.688477,7083.40625,121667.9531,121020.9922,109167.0391,113110.0547,91356.29688,101742.6094,160040.8594,149976.8438,194158.4844,233452.75,230155.3594,162196.2344,199288.5625,188627.7656,195637.4063,219865.3438,197751.625,181778.3906,158701.1094,146232.0625,164854.2188,170107.7031,69252.76563,175934.7969,133333.6875,130710.1875,122699.0781,118692.6719,128681.5547,119416.3047,101455.7031,88153.3125,93112.58594,101044.0938,105524.5156,103153.5938
C9J0A7;Q9UQN3,CHMP2B,3965.813721,1325.831543,2959.709961,4178.550781,2524.075439,2775.265869,NaN,NaN,NaN,NaN,NaN,NaN,252.7928162,741.3892822,925.6240234,1262.573853,261.1577759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,564.2059937,NaN,NaN,NaN,NaN,NaN,NaN,861.0939941,NaN,NaN,NaN,1.368373275,NaN,NaN,NaN,NaN,NaN,NaN
C9J0G0;Q99424,ACOX2,573.9050293,NaN,150.118515,491.1713257,434.32547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C9J0H3;C9J7K9;C9JE06;O15162,PLSCR1,6481.199707,3781.108887,5685.685547,5584.884766,5318.568359,5687.692871,NaN,NaN,NaN,NaN,NaN,NaN,968.3151855,987.2588501,1530.541016,NaN,1371.46167,2087.959717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C9J0I9;Q86WB0,ZC3HC1,51603.49219,49684.38672,50884.89844,54406.34375,50178.67578,47625.91406,14996.83008,11802.02539,16882.97266,13392.21387,15448.58594,13419.80371,44400.34766,42696.98438,50165.07813,51855.11719,45515.44141,52088.24609,26328.31641,32008.09766,35018.74219,33785.76172,30915.59766,32597.85352,21407.95313,25230.25195,19359.99609,22700.38477,24890.68555,22114.38672,18145.74023,17810.08008,18618.78125,16961.23633,18890.18555,16359.43457,18364.76367,14134.21973,16828.48047,15480.56152,17554.5918,16328.87988
C9J0J7;C9J712;C9JQ45;G5E9Q6;P35080,PFN2,54640.94922,37919.49219,40353.05859,45887.02734,40714.30859,44373.35547,143328.9375,148955.1094,140880.9063,150984.9375,158308.5625,165956.125,45432.39063,45999.96484,67605.10156,54105.46875,70879.58594,58779.0625,63652.38672,64814.82422,71432.54688,65089.01953,69443.625,59708.07031,94107,91140.82031,97670.98438,94504.72656,115668.8594,98161.58594,113554.7813,116358.9219,109109.125,111407.2109,107009.9453,107701.5547,107380.9453,116384.1563,115087.4688,106941.8047,107604.5625,93660.65625
C9J0Q5;C9JE98;Q9Y618,NCOR2,142030.5313,108130.8672,116406.5547,142725.5,107994.0859,111342.0781,34116.94531,43857.20703,70951.86719,40459.5,47659.46875,33753.70313,99361.85938,94286.17969,60051.75,84175.07031,114257.8125,54436.10938,42032.125,40718.375,39797.32031,51680.43359,42410.63281,36887.83203,38305.39453,30652.56641,32689.64844,29657.68359,32683.57422,32690.9043,30679.26953,32859.70313,25309.29688,16337.74121,23135.86328,27849.21094,21253.55859,36450.07422,32107.5625,30377.78711,27282.63086,33938.26172
C9J1I0;C9J2B6;H7BXJ2;Q6UXZ4,UNC5D,1975.553467,998.894165,1510.904785,3164.70166,411.5516052,946.1065063,12083.38965,8654.664063,5263.789063,5092.156738,7774.346191,6928.070801,9895.064453,NaN,9556.650391,NaN,16542.97656,NaN,NaN,9694.725586,4093.516113,NaN,NaN,6897.130371,2516.360352,2958.531494,2857.944824,2012.379395,3577.575928,1674.574097,3220.56543,4485.030762,4050.193604,8887.851563,5360.757813,4989.220215,4554.455078,3617.361084,6527.946777,4780.725098,7222.599121,5651.443848
C9J1V9;D6RBD7;D6RCQ0;H0YAL7;O43324,EEF1E1-BLOC1S5;EEF1E1;EEF1E1;EEF1E1;EEF1E1,53979.42578,24090.63867,27229.28125,29968.84766,29294.13086,22407.48633,22581.80078,25298.4707,18344.51953,21483.73633,25877.0625,23590.92969,13321.11133,10617.04492,24601.42969,15492.4375,17607.49023,22573.13281,24519.16797,11754.41992,21080.42578,13050.41406,13181.70898,13356.97949,21887.49219,20689.83398,23823.94336,19245.44531,20913.90039,18932.95508,29714.60938,29601.99805,26778.64063,22975.61523,26328.2168,23050.35547,24662.11328,19299.40625,28205.03711,23287.24023,22800.19336,19901.16211
C9J1Z8;P84085,ARF5,61085.03516,47363.72656,53283.21094,48769.69531,39948.21875,45042.76953,102640.9922,125352.6172,138287.4688,98661.03906,93482.54688,109478.5547,51886.52344,58351.17969,63367.90625,61259.28125,44364.0625,74979.28906,49968.29297,59054.66797,53415.19531,43660.80469,54354.55469,60645.53125,60530.375,63563.77734,52572.78516,62430.55859,76241.0625,70942.6875,77306.63281,71524.42188,78496.25781,77214.64844,67936,75516.90625,87150.73438,85794.64844,95526.30469,88967.30469,86405.65625,98109.57813
C9J2P9;Q75N03,CBLL1,24887.16992,23288.60156,20754.15039,23122.05469,23188.76758,21532.43945,11368.11035,12241.21094,12144.97461,9815.061523,11269.78906,12178.6377,26579.18359,24489.13867,26225.55664,19419.99219,22572.11523,21718.24414,19292.44141,18049.79297,17267.80078,18179.45898,17509.63281,16677.00391,14333.46973,14437.61133,14934.69727,14639.0752,14282.62793,12932.94824,11447.57324,12178.55176,11892.92578,10496.38867,12766.64648,12279.87305,11341.1084,9611.613281,9155.835938,11414.5752,9808.634766,10884.45898
C9J2Q2;Q8N5M1,ATPAF2,16889.26172,27013.6543,28872.93945,18711.71875,22935.1875,24415.88086,39989.28906,40810.42188,27469.75391,26274.67188,41655.30859,23228.7793,29769.97266,32083.47852,34158.58203,16858.58594,25825.24609,23499.0918,21800.44727,31455.10742,16159.83789,30353.26563,12683.68945,21274.42773,36209.55078,36082.14063,33419.82031,26469.73438,33292.84766,26414.14258,34602.87891,29450.36328,35649.63281,34237.875,34910.80859,8955.870117,28180.6543,21831.10352,29180.93164,33781.61719,31913.02539,17764.42969
C9J2U0;I3L413;P24864,CCNE1,521.8405762,NaN,NaN,1325.645874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,276.7337341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353.7106323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C9J2Y9;P30876,POLR2B,143193.9219,146063.2344,152564.3594,151443.5781,137765.0781,147188.875,59994.84375,52434.03516,56540.94141,57001.75391,49137.03516,57764.68359,175631.375,162180.5625,177793.4844,160586.2344,144983.8594,183642.6094,129689.1797,108816.6406,123030.2422,120990.25,114802.7891,114010.875,91965.25,91467.78125,88012.16406,90548.1875,81744.11719,86447.03125,73670.04688,72718.42969,80431.98438,75850.71875,77919.89063,75739.38281,71832.17969,64828.67578,69442.1875,63933.16797,67743.45313,70350.42188
C9J384;Q9BQ75,CMSS1,31865.96875,31110.71094,31033.92969,28322.02539,32077.25,30899.19727,9519.419922,8243.196289,10050.4668,9220.342773,6112.881836,8952.883789,30183.12695,31862.84766,34364.30078,32698.66406,34239.73047,37026.02344,23365.17578,17966.46484,23766.0293,21541.06641,20602.32031,18176.02734,11735.42773,12572.08594,14020.34082,13646.59961,13614.90918,12364.38379,9299.326172,10526.55078,7967.321289,9129.81543,8233.472656,8552.661133,8492.595703,5744.884277,7311.214355,4466.964355,8609.74707,6108.90918
