PG.ProteinGroups,PG.Genes,[1] Day0_1.raw.PG.Quantity,[2] Day0_2.raw.PG.Quantity,[3] Day0_3.raw.PG.Quantity,[4] Day0_4.raw.PG.Quantity,[5] Day0_5.raw.PG.Quantity,[6] Day0_6.raw.PG.Quantity,[7] Day28_1.raw.PG.Quantity,[8] Day28_2.raw.PG.Quantity,[9] Day28_3.raw.PG.Quantity,[10] Day28_4.raw.PG.Quantity,[11] Day28_5.raw.PG.Quantity,[12] Day28_6.raw.PG.Quantity,[13] Day03_1.raw.PG.Quantity,[14] Day03_2.raw.PG.Quantity,[15] Day03_3.raw.PG.Quantity,[16] Day03_4.raw.PG.Quantity,[17] Day03_5.raw.PG.Quantity,[18] Day03_6.raw.PG.Quantity,[19] Day07_1.raw.PG.Quantity,[20] Day07_2.raw.PG.Quantity,[21] Day07_3.raw.PG.Quantity,[22] Day07_4.raw.PG.Quantity,[23] Day07_5.raw.PG.Quantity,[24] Day07_6.raw.PG.Quantity,[25] Day10_1.raw.PG.Quantity,[26] Day10_2.raw.PG.Quantity,[27] Day10_3.raw.PG.Quantity,[28] Day10_4.raw.PG.Quantity,[29] Day10_5.raw.PG.Quantity,[30] Day10_6.raw.PG.Quantity,[31] Day14_1.raw.PG.Quantity,[32] Day14_2.raw.PG.Quantity,[33] Day14_3.raw.PG.Quantity,[34] Day14_4.raw.PG.Quantity,[35] Day14_5.raw.PG.Quantity,[36] Day14_6.raw.PG.Quantity,[37] Day21_1.raw.PG.Quantity,[38] Day21_2.raw.PG.Quantity,[39] Day21_3.raw.PG.Quantity,[40] Day21_4.raw.PG.Quantity,[41] Day21_5.raw.PG.Quantity,[42] Day21_6.raw.PG.Quantity
A0A024RAC6;Q14241,ELOA,45938.12109,44449.05469,41085.41406,41933.25391,40517.86719,44649.92969,10120.31641,13602.99707,14943.80566,9030.956055,8734.208984,10324.4209,53546.58203,48994.98828,44291.10547,50681.30469,52315.08594,41280.33594,33437.58984,26030.23438,23971.29883,30524.31836,30378.36133,32496.36914,22245.41016,24281.52539,20841.32617,22580.96484,19858.74609,20545.37695,15723.41211,15062.37402,12286.25977,16113.81543,14329.91992,15775.11621,14392.66797,12310.68555,12790.97461,14021.60449,14486.44434,12727.78418
A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLK6;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5,PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;PPT2;;PPT2;PPT2;PPT2;PPT2,5488.756348,4939.070801,4415.709961,4841.156738,4657.274902,4041.274658,4411.145996,3486.576904,876.3375244,6799.52002,4403.312988,4047.230713,9675.589844,8428.084961,8405.725586,6989.962402,7083.328125,10898.18164,8140.254883,7891.624023,11059.02539,8665.489258,9093.05957,8128.553223,9939.759766,9118.084961,9287.900391,9464.244141,7357.774414,8646.338867,9023.496094,7565.25,7838.42627,9180.44043,6410.759277,7617.282227,6609.083008,7498.64209,5276.941895,5295.086914,6915.348633,6458.408203
A0A024RCR6;A0A0G2JK23;P46379,BAG6,145616.9063,95793.39844,94056.28906,99540.17969,82027.71094,71718.57813,46060.57813,51868.78906,33394.07813,54548.5625,58031.44141,50976.41797,72863.84375,60856.80078,50961.08984,33906.49219,59918.30859,57995.3125,60482.47266,49983.12891,58705.125,45645.72656,61602.625,48584.46875,65580.94531,65704.55469,66777.07031,58994.85547,65467.34766,62733.76563,70785.78906,70842.33594,66156.10938,56866.96094,64746.24219,52663.94531,55556.23828,50406.66406,57825.19531,59989.04297,54631.08203,50719.60547
A0A024RCV8;A0A0G2JK42;A0A0G2JK88;A0A140T982;A0A140T9A7;A0A140T9J3;A0A140T9X1;A2ABE9;H7C2J4;O43196,MSH5-SAPCD1;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5,690.237854,NaN,321.6603699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,325.7569275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1056.237427,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A024RDL5;A0A087WVB5;A0A2R8Y522;A0A2R8Y568;A0A2R8Y8C6;Q75MD7;Q8WXX7,AUTS2,4958.198242,2068.040283,2498.496826,2352.123047,2269.750732,2185.290039,NaN,NaN,NaN,NaN,NaN,NaN,3632.896729,3688.690918,1562.135132,877.3082275,1554.796997,3251.62915,624.6931152,NaN,2145.046143,1355.198975,1612.591919,579.0090332,1051.830688,517.828186,NaN,363.4002686,NaN,NaN,NaN,848.3796387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A067XG54;Q8NB49,ATP11C,10336.28027,6471.759766,7550.838379,9264.321289,7392.498047,7715.562012,8373.854492,8880.708008,9703.083984,8867.104492,5627.107422,7930.25293,3556.577148,4213.679688,4662.472168,5311.71875,4206.539063,7355.650879,9594.054688,11522.6123,13507.9082,13244.8584,11589.08301,9675.873047,10224.70996,11049.77051,7348.251465,10947.10742,11331.68164,9911.085938,9848.868164,10580.22754,10501.23535,10416.48242,10362.31738,10822.34375,9448.720703,7294.165527,11100.66895,9567.458984,10463.55371,10251.22461
A0A075B6G3;A0A087WTU7;A0A087WV90;A0A5H1ZRP7;A0A5H1ZRP8;A0A5H1ZRP9;A0A5H1ZRQ1;A0A5H1ZRQ8;A0A5H1ZRR9;H0Y304;P11532,DMD,4796.578613,3128.411621,4526.674316,5139.387207,2644.681885,2960.591797,1307.711426,2313.57959,2244.788818,2643.527588,1505.263672,1704.361816,2332.123047,1292.703125,2577.657227,1230.794922,3124.646729,1520.436157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,825.7454834,NaN,NaN,1293.894531,1254.449341,287.488739,NaN,1778.69043
A0A075B6H0;B1AJR6;B1AJR8;B1AJR9;B1AJS0;O14522,PTPRT,8865.40332,2193.457031,NaN,2016.128296,NaN,NaN,10055.47266,9583.101563,19730.12891,15182.91992,8257.96875,6939.064941,1170.202881,NaN,2466.893066,NaN,NaN,NaN,NaN,NaN,2853.651855,NaN,3699.306885,2686.906982,9006.337891,930.0844727,8457.811523,3101.965088,879.1395264,NaN,5429.793457,3553.93457,5214.644043,2424.563477,5258.004395,2417.559082,13407.25684,10075.91113,10003.89844,13129.875,12659.41504,11547.85938
A0A075B6H4;Q9H8E8,KAT14,14012.25,6917.383301,6831.041504,13616.66797,8322.237305,7946.067871,933.5200806,1608.963989,1014.771179,1781.643066,1434.720825,1847.759155,6730.143066,7797.09082,7147.92041,8052.936523,8935.197266,7460.911621,2949.121582,4166.662598,4564.978516,3551.672363,3911.980713,2898.451904,2824.623291,3073.225098,1772.009888,3080.462646,511.376709,3708.244873,2553.824219,493.955658,670.6748657,1865.771362,2683.870361,1883.280151,1915.274658,1506.398926,2992.685791,2652.678955,2322.543213,2867.227539
A0A075B6P0;Q330K2,NDUFAF6,22897.61719,19409.68359,23594.28711,12759.72949,22218.51758,23402.64844,36981.65625,34156.45703,30434.33398,28362.70703,39687.625,31924.47461,11697.39063,16521.00586,7567.025879,11655.90918,10432.53809,13961.24609,20140.35938,11672.4375,15861.80371,18404.04883,13897.5166,15122.20996,13127.74316,15939.45996,17190.65234,11797.20313,16243.46484,12276.875,12022.65918,16166.58984,15144.92676,14374.66699,8867.782227,10936.10254,21782.66797,16592.7793,23636.69727,20457.23828,23494.04883,18597.76758
